iter	Passed	Remaining
0	1	171
1	2	129
2	3	105
3	3	92
4	4	88
5	5	82
6	5	78
7	7	91
8	8	88
9	9	85
10	10	81
11	10	79
12	11	77
13	12	77
14	14	82
15	15	79
16	15	76
17	16	74
18	17	73
19	17	71
20	18	69
21	20	72
22	21	70
23	21	69
24	22	67
25	23	66
26	23	64
27	24	63
28	26	65
29	27	64
30	28	62
31	28	61
32	29	59
33	30	58
34	30	56
35	32	57
36	33	56
37	33	55
38	34	54
39	35	52
40	35	51
41	36	49
42	36	48
43	38	49
44	39	48
45	40	47
46	40	46
47	41	45
48	42	43
49	42	42
50	43	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	48	35
58	50	35
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	63	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	15
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
